Country name,Happiness,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
Saudi Arabia,6.953373909,10.82944298,0.884445488,64.80000305,0,0.02750292,0
Senegal,5.092725277,8.199542999,0.668487847,60.59999847,0.797610044,0.048020113,0.835981429
Serbia,6.441013813,9.961326599,0.894927204,67.40000153,0.806503236,0.084891275,0.781697452
Sierra Leone,3.466577768,7.411620617,0.601413965,56.09999847,0.693507195,0.10142827,0.866305292
Singapore,6.653942108,0,0.916325748,74,0.861233413,0,0.152543053
Slovakia,6.260521889,10.42497635,0.941262782,69.40000153,0.753177226,-0.135729134,0.825238705
Slovenia,6.745768547,10.66434479,0.910655141,71.40000153,0.931499362,0.031081576,0.750028193
South Africa,5.075719357,9.502883911,0.839282095,58.29999924,0.747669756,-0.109230869,0.861435533
South Korea,6.111918926,10.74176884,0.799441338,74.19999695,0.762343049,-0.003665844,0.713588834
Spain,6.45603323,10.60896015,0.912134528,72.59999847,0.778683066,-0.003899825,0.674821138
Sri Lanka,3.602454901,9.364070892,0.790229857,67.40000153,0.753907204,0.050489277,0.921878397
State of Palestine,4.851185322,0,0.831444502,0,0.707762122,0,0.808127403
Sweden,7.160777092,10.9021368,0.926617563,72.40000153,0.926378608,0.14666824,0.253073782
Switzerland,6.96883297,11.16925716,0.903757095,73.30000305,0.890971661,0.103554204,0.246743873
Taiwan Province of China,6.655351639,0,0.871551275,0,0.794507623,0,0.640639067
Tajikistan,5.379470825,8.371051788,0.870741546,62.59999847,0,-0.054377679,0.482385397
Tanzania,4.042028427,7.892750263,0.663485348,60.29999924,0.861729443,0.121643744,0.608898699
Thailand,6.282364368,9.807331085,0.873081505,68.59999847,0.925836265,0.337994844,0.889299929
Togo,4.364938736,7.725253582,0.547155082,58.20000076,0.665011823,-0.071156792,0.684943557
Tunisia,4.505141258,9.281788826,0.701545477,67.09999847,0.482242137,-0.22639519,0.882401586
Türkiye,5.462700367,10.42920303,0.859526575,69.09999847,0.522796512,-0.159018278,0.747561455
Uganda,4.466518879,7.758769512,0.827439845,60.09999847,0.847656608,0.067090295,0.911813736
Ukraine,4.67244482,9.422674179,0.839185178,64.80000305,0.772263527,0.369769633,0.922391295
United Arab Emirates,6.728384018,11.2355442,0.775808215,66.59999847,0.885922134,0.155217305,0
United Kingdom,6.658042908,10.75854301,0.885865748,70.5,0.874444127,0.269720078,0.49003002
United States,6.520872116,11.08929253,0.860502541,65.59999847,0.721452534,0.18488723,0.721700907
Uruguay,6.661721706,10.12226391,0.908374488,67.5,0.904163778,-0.0502562,0.661657572
Uzbekistan,6.385360718,9.025871277,0.908859313,65.90000153,0.92678386,0.24713707,0.649539769
Venezuela,5.765363216,0,0.884667933,63.70000076,0.756530225,0,0.825392902
Vietnam,6.325115204,9.392351151,0.844905019,65.69999695,0.955560029,-0.159113646,0.65527457
Yemen,3.531573534,0,0.824958205,56.59999847,0.582724273,0,0.771463513
Zambia,3.685568094,8.115053177,0.66409868,56.09999847,0.854004443,0.092376716,0.814190567
Zimbabwe,3.572386265,7.678589821,0.693817437,55,0.734612763,-0.068836704,0.757493675
